date,sales
2025-03-04,751.33
2025-03-05,692.83
2025-03-06,796.87
2025-03-07,817.0
2025-03-08,906.48
2025-03-09,911.95
2025-03-10,733.34
2025-03-11,715.67
2025-03-12,638.17
2025-03-13,697.9
2025-03-14,832.2
2025-03-15,940.54
2025-03-16,906.72
2025-03-17,691.79
2025-03-18,751.83
2025-03-19,767.25
2025-03-20,715.02
2025-03-21,881.43
2025-03-22,873.1
2025-03-23,918.25
2025-03-24,725.55
2025-03-25,805.43
2025-03-26,719.92
2025-03-27,734.94
2025-03-28,875.41
2025-03-29,871.82
2025-03-30,900.94
2025-03-31,794.49
2025-04-01,787.73
2025-04-02,704.64
2025-04-03,798.76
2025-04-04,823.78
2025-04-05,974.47
2025-04-06,857.81
2025-04-07,807.56
2025-04-08,793.81
2025-04-09,763.39
2025-04-10,762.26
2025-04-11,854.92
2025-04-12,902.81
2025-04-13,916.99
2025-04-14,750.88
2025-04-15,787.41
2025-04-16,809.3
2025-04-17,720.0
2025-04-18,844.77
2025-04-19,946.62
2025-04-20,994.68
2025-04-21,756.09
2025-04-22,836.02
2025-04-23,769.07
2025-04-24,806.71
2025-04-25,856.73
2025-04-26,949.29
2025-04-27,925.53
2025-04-28,750.79
2025-04-29,849.35
2025-04-30,848.66
2025-05-01,786.94
2025-05-02,845.36
2025-05-03,934.31
2025-05-04,890.32
2025-05-05,749.77
2025-05-06,810.91
2025-05-07,832.82
2025-05-08,786.7
2025-05-09,819.13
2025-05-10,904.07
2025-05-11,923.08
2025-05-12,825.76
2025-05-13,800.58
2025-05-14,742.58
2025-05-15,753.71
2025-05-16,873.45
2025-05-17,962.9
2025-05-18,1021.43
2025-05-19,859.38
2025-05-20,810.15
2025-05-21,776.43
2025-05-22,812.1
2025-05-23,819.57
2025-05-24,927.95
2025-05-25,995.69
2025-05-26,830.68
2025-05-27,843.65
2025-05-28,869.5
2025-05-29,791.81
2025-05-30,900.6
2025-05-31,962.31
2025-06-01,972.47
2025-06-02,819.69
2025-06-03,832.55
2025-06-04,756.88
2025-06-05,758.05
2025-06-06,876.73
2025-06-07,982.95
2025-06-08,945.04
2025-06-09,810.74
2025-06-10,759.58
2025-06-11,854.15
2025-06-12,834.8
2025-06-13,936.77
2025-06-14,951.64
2025-06-15,964.54
2025-06-16,821.74
2025-06-17,873.84
2025-06-18,842.61
2025-06-19,836.35
2025-06-20,816.17
2025-06-21,937.96
2025-06-22,914.25
2025-06-23,815.85
2025-06-24,857.9
2025-06-25,826.53
2025-06-26,788.46
2025-06-27,966.3
2025-06-28,932.56
2025-06-29,1031.71
2025-06-30,873.5
2025-07-01,838.25
2025-07-02,882.14
2025-07-03,786.09
2025-07-04,867.75
2025-07-05,968.43
2025-07-06,995.79
2025-07-07,824.51
2025-07-08,899.92
2025-07-09,817.78
2025-07-10,824.29
2025-07-11,845.89
2025-07-12,1003.59
2025-07-13,1016.72
2025-07-14,805.92
2025-07-15,786.5
2025-07-16,782.0
2025-07-17,883.87
2025-07-18,929.48
2025-07-19,999.84
2025-07-20,1019.48
2025-07-21,859.28
2025-07-22,858.64
2025-07-23,776.88
2025-07-24,862.3
2025-07-25,930.31
2025-07-26,1038.09
2025-07-27,1031.95
2025-07-28,817.24
2025-07-29,855.25
2025-07-30,789.27
2025-07-31,903.12
2025-08-01,852.17
2025-08-02,1025.18
2025-08-03,966.51
2025-08-04,816.02
2025-08-05,813.52
2025-08-06,836.6
2025-08-07,865.29
2025-08-08,955.28
2025-08-09,989.58
2025-08-10,1035.93
2025-08-11,887.15
2025-08-12,934.93
2025-08-13,830.13
2025-08-14,866.66
2025-08-15,942.43
2025-08-16,1011.3
2025-08-17,1030.96
2025-08-18,830.33
2025-08-19,843.18
2025-08-20,833.09
2025-08-21,833.22
2025-08-22,883.9
2025-08-23,1005.81
2025-08-24,961.73
2025-08-25,838.21
2025-08-26,884.68
2025-08-27,799.73
2025-08-28,820.83
2025-08-29,907.18
2025-08-30,971.49
2025-08-31,974.89
2025-09-01,939.64
2025-09-02,878.77
2025-09-03,848.12
2025-09-04,837.61
2025-09-05,865.7
2025-09-06,971.96
2025-09-07,926.74
2025-09-08,891.39
2025-09-09,849.48
2025-09-10,906.43
2025-09-11,870.67
2025-09-12,852.27
2025-09-13,1097.64
2025-09-14,1043.13
2025-09-15,908.63
2025-09-16,851.95
2025-09-17,852.29
2025-09-18,868.01
2025-09-19,1006.92
2025-09-20,976.6
2025-09-21,984.52
2025-09-22,898.13
2025-09-23,800.01
2025-09-24,937.65
2025-09-25,833.63
2025-09-26,987.02
2025-09-27,1024.65
2025-09-28,1017.21
2025-09-29,836.36
2025-09-30,940.08
2025-10-01,872.21
2025-10-02,843.54
2025-10-03,995.69
2025-10-04,1068.45
2025-10-05,1108.01
2025-10-06,934.71
2025-10-07,978.47
2025-10-08,994.81
2025-10-09,990.33
2025-10-10,997.16
2025-10-11,1183.61
2025-10-12,1230.46
2025-10-13,1054.63
2025-10-14,1085.11
2025-10-15,1089.86
2025-10-16,1056.84
2025-10-17,1180.47
2025-10-18,1228.1
2025-10-19,1206.31
2025-10-20,1054.25
2025-10-21,1152.53
2025-10-22,1146.42
2025-10-23,1149.64
2025-10-24,1167.96
2025-10-25,1213.09
2025-10-26,1320.47
2025-10-27,1139.56
2025-10-28,1122.06
2025-10-29,1124.31
2025-10-30,1127.39
2025-10-31,1137.52
2025-11-01,1325.98
2025-11-02,1328.84
2025-11-03,1184.46
2025-11-04,1133.8
2025-11-05,1096.03
2025-11-06,1088.21
2025-11-07,1186.45
2025-11-08,1353.42
2025-11-09,1316.04
2025-11-10,1124.74
2025-11-11,1136.05
2025-11-12,1142.8
2025-11-13,1105.57
2025-11-14,1164.41
2025-11-15,1245.27
2025-11-16,1204.95
2025-11-17,1023.37
2025-11-18,1036.58
2025-11-19,1094.31
2025-11-20,975.55
2025-11-21,1069.93
2025-11-22,1149.44
2025-11-23,1156.03
2025-11-24,974.98
2025-11-25,1012.05
2025-11-26,954.07
2025-11-27,956.22
2025-11-28,1032.28
2025-11-29,1025.61
2025-11-30,1112.42
2025-12-01,960.56
2025-12-02,868.24
2025-12-03,917.32
2025-12-04,892.13
2025-12-05,967.66
2025-12-06,1103.72
2025-12-07,999.15
2025-12-08,957.34
2025-12-09,941.53
2025-12-10,924.97
2025-12-11,1013.33
2025-12-12,966.84
2025-12-13,1017.59
2025-12-14,1092.74
2025-12-15,933.93
2025-12-16,903.87
2025-12-17,845.12
2025-12-18,854.93
2025-12-19,1055.17
2025-12-20,1021.24
2025-12-21,1136.58
2025-12-22,964.76
2025-12-23,845.89
2025-12-24,941.21
2025-12-25,959.57
2025-12-26,1038.74
2025-12-27,1138.09
2025-12-28,1135.86
2025-12-29,935.07
2025-12-30,927.49
